"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Dada Ghosh Bhawan","Gym","Tamaya",28.642312,77.175279,"5c166a242a7ab6002cce3c72","New Delhi","Delhi","Gym","Gyms","Inside Jaypee Siddharth","Jaypee Siddharth Exit Road (Inside Jaypee Siddharth)",110008,"Jaypee Siddharth Exit Road"
"Sector 43, Sushant Lok 1","Gym","Gold's Gym",28.45070005,77.07864706,"5516c3d6498ea99fe4b638ea","New Delhi","Delhi","Gym","Gyms","Sector 43, Sushant Lok 1","Gold Souk, 3rd Floor (Sector 43, Sushant Lok 1)",122001,"Gold Souk, 3rd Floor"
"gk2","Gym","Talwalkars",28.54197,77.231363,"4dac48290cb6a89c6293933d","New Delhi","Delhi","Gym","Gyms","gk2","gk2","null","null"
"Greater Noida 201308","Gym / Fitness","Garage Fitness",28.479113,77.50042,"5903e282b546187ea5ae5892","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","Greater Noida 201308",201308,"null"
"Gurugram","Gym / Fitness","Anytime Fitness",28.46588151,77.09983078,"58beb68a0e0a1e57cfb8f534","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","Gurugram","null","null"
"Gurugram 122002","Gym / Fitness","Anytime Fitness Golf Course Road",28.442395,77.101022,"5dc6d4f4a2ed66000a071941","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","Gurugram 122002",122002,"null"
"Anand Niketan","Gym / Fitness","gym @ taj palace",28.595414,77.170641,"5c1a6574bfc6d0002ccf5021","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","Taj Palace Hotel",110021,"Taj Palace Hotel"
"Palam Vihar Extension","Gym","Reform Gym & Spa",28.51179675,77.02754149,"568a84f7498e8626da09a457","New Delhi","Delhi","Gym","Gyms","null","Palam Vihar Extension","null","Palam Vihar Extension"
"New Delhi","Gym / Fitness","ozOne",28.6502744,77.1205167,"538ad2b7498eed7dcdb28b06","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","India","null","null"
"Old DLF Colony","Gym / Fitness","Aimfit Gym",28.470135,77.042276,"5da740015e311600088b4093","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","Old DLF Colony","Sundar Singh Marg (Old DLF Colony)",122001,"Sundar Singh Marg"
"Shop No 18, Sector 15 Main Marker","Nutritionist","Diet Clinic Faridabad Sector 15",28.395298,77.324488,"5b04f75b4f0e58002ccb43e9","New Delhi","Delhi","Nutritionist","Nutritionists","null","Shop No 18, Sector 15 Main Marker",121007,"Shop No 18, Sector 15 Main Marker"
"South City 2","Club","Club South Patio",28.41790083,77.05411722,"4bcaa9f9cc8cd13a0538becf","New Delhi","Delhi","Club House","Club Houses","South City 2","Gurgaon, Haryana (South City 2)","null","Gurgaon, Haryana"
"Gaur gravity mall","Gym","Gold's Gym",28.63415028,77.36039088,"4d24885253e4a09324368877","New Delhi","Delhi","Gym","Gyms","Gaur gravity mall","Indirapuram (Gaur gravity mall)","null","Indirapuram"
"New Delhi","Gym / Fitness","Anytime Fitness",28.53507221,77.21039496,"5520182c498e69affab84d79","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","India","null","null"
"Rajnagar","Gym","Gold's Gym",28.67362822,77.44315178,"51578d5ae4b00bf3ace0e2f7","New Delhi","Delhi","Gym","Gyms","Rajnagar","Rajnagar District Center (Rajnagar)",201002,"Rajnagar District Center"
