"Neighborhood","Venue Category","Venue","location_address","Neighborhood_Latitude","Neighborhood_Longitude","id","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName","location_crossStreet","location_neighborhood",,,,,,,,
"Ghatkopar","Theater","javerben popatlal auditorium","Ghatkopar",19.08331954,72.9084889,"52d2726c11d271f8d2130283","null","Mumbai","Maharashtra","India","Ghatkopar","Theater","Theaters","Theater","null","Ghatkopar",,,,,,,,
"St Peter's Road","Theater","Rangsharda Auditorium","St Peter's Road",19.05142378,72.83260255,"4b0587dcf964a5209da422e3","400 050","Mumbai","Maharashtra","India","St Peter's Road","Theater","Theaters","Theater","null","St Peter's Road",,,,,,,,
,"Theater","Sasural Simar ka","null",19.26922523,72.89267219,"512ee97ae4b014b79c469f95","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
,"Theater","Museum viewing centre","null",18.92679589,72.83170873,"4f2e43ffe4b0c1a8199fa325","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Near Chamunda Circle","Theater","Prabodhankar Thackeray Natya Mandir","Sodawala Lane",19.23312077,72.8489949,"4b0587dcf964a52099a422e3","400 092","Mumbai","Maharashtra","India","Sodawala Lane (Near Chamunda Circle)","Theater","Theaters","Theater","Near Chamunda Circle","Near Chamunda Circle",,,,,,,,
"Hare Krishna Land","Theater","ISKCON Auditorium","Hare Krishna Land",19.11346252,72.8266542,"4b0587dcf964a52094a422e3","400 049","Mumbai","Maharashtra","India","Hare Krishna Land","Theater","Theaters","Theater","null","Hare Krishna Land",,,,,,,,
"Marine Drive","Theater","TATA NCPA","Marine Drive",18.95536146,72.81383276,"4d456f411ed56dcb56f9ba54","null","Mumbai","Maharashtra","India","Marine Drive","Theater","Theaters","Theater","null","Marine Drive",,,,,,,,
,"Theater","Kalan Samaj Hall","null",18.992316,73.105691,"566d7321498eefc065f7418b","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Ground Floor, EL - 217","Theater","The Think Tank - Psonisma HQ","Ground Floor, EL - 217",19.10901672,73.0293338,"4ef85937c512f227794d1e3c","null","Mumbai","Maharashtra","India","Ground Floor, EL - 217","Theater","Theaters","Theater","null","Ground Floor, EL - 217",,,,,,,,
"Vashi","Theater","Vishnudas natya grihh","Vashi",19.06871279,72.98820255,"4f1a38e2e4b095bc44786a36","null","Mumbai","Maharashtra","India","Vashi","Theater","Theaters","Theater","null","Vashi",,,,,,,,
,"Theater","Sahitya Sangh","null",18.9534864,72.82063594,"4f1c447ae4b0889e0622a041","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Dr. Annie Besant Road","Theater","Nehru Centre-Auditorium","Dr. Annie Besant Road",19.00554515,72.82621824,"4b0587ddf964a520bfa422e3","400 018","Mumbai","Maharashtra","India","Dr. Annie Besant Road","Theater","Theaters","Theater","null","Dr. Annie Besant Road",,,,,,,,
"Sion","Theater","Shanmukhananda Hall","292 Comrade Harbanslal Marg",18.98921062,73.11543334,"4b0587dcf964a52093a422e3","400 022","Mumbai","Maharashtra","India","292 Comrade Harbanslal Marg (Sion)","Theater","Theaters","Theater","Sion","Sion",,,,,,,,
"Premier Road","Cafeteria","Don Bosco Canteen","Don Bosco Institute Of Technology",19.08201917,72.88869225,"4ff18e03e4b0ccc7763f983f",400070,"Mumbai","Maharashtra","India","Don Bosco Institute Of Technology (Premier Road)","College Cafeteria","College Cafeterias","Cafeteria","Premier Road","Premier Road",,,,,,,,
"Shyamnarayan Thakur Marg","Technology","Thakur College of Engineering and Technology","Shyamnarayan Thakur Marg",19.20610952,72.87414305,"4b0587e6f964a5204ea622e3","400 101","Mumbai","Maharashtra","India","Shyamnarayan Thakur Marg","College Technology Building","College Technology Buildings","Technology","null","Shyamnarayan Thakur Marg",,,,,,,,
"7 N.S. Road, J.V.P.D. Scheme, Juhu","School","Jamnabai Narsee School","7 N.S. Road, J.V.P.D. Scheme, Juhu",19.10595019,72.83203185,"4b1bb48df964a520c3fc23e3",400056,"Mumbai","Maharashtra","India","7 N.S. Road, J.V.P.D. Scheme, Juhu","School","Schools","School","null","7 N.S. Road, J.V.P.D. Scheme, Juhu",,,,,,,,
